========================================
  RÉSULTATS : 3voices_1_1_2_vtype_1_2
========================================

--- Configuration ---
CF                : 8 (Do Reference Grave)
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 3
Espèces (incl CF) : 1 0 1
v_type            : 1 2
Timeout max (ms)  : 180000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 180000.0
Temps 1ère solution (ms)    : 13.1
Temps dernière amélio. (ms) : 148397.2
Solutions trouvées          : 224
Améliorations de coût       : 220
Score pondéré           : 3416.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 1563631
Échecs     : 781583
Restarts   : 0
Propagat.  : 1228230921
Profondeur : 69

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          13.1     15354.0
       2          18.2     15264.0
       3          19.0     15243.0
       4          20.4     15176.0
       5          22.1     15107.0
       6          22.8     15094.0
       7          24.9     15025.0
       8          25.5     14956.0
       9          27.4     14063.0
      10          28.1     13689.0
      11          28.6     13633.0
      12          29.1     13580.0
      13          29.4     13511.0
      14          29.8     13498.0
      15          33.2     12975.0
      16          34.0     12691.0
      17          34.3     12598.0
      18          60.4     12280.0
      19          60.7     12112.0
      20          61.0     11932.0
      21          61.5     11842.0
      22          63.4     11828.0
      23          65.1     11755.0
      24          65.5     11665.0
      25          66.1     11423.0
      26          69.0     11415.0
      27          81.4     11376.0
      28          81.7     11211.0
      29          82.6     11182.0
      30          83.1     11158.0
      31          83.7     11089.0
      32         119.7     11018.0
      33         134.6     10968.0
      34         137.0     10960.0
      35         201.7     10907.0
      36         202.5     10822.0
      37         246.4     10697.0
      38         248.9     10689.0
      39         258.3     10644.0
      40         260.6     10575.0
      41         261.3     10506.0
      42         327.2     10501.0
      43         328.7     10493.0
      44         331.7     10419.0
      45         333.5     10334.0
      46         379.5     10196.0
      47         382.4     10185.0
      48         383.7     10066.0
      49         386.1     10049.0
      50         387.5     10036.0
      51         408.0      9961.0
      52         426.2      9899.0
      53         427.8      9883.0
      55         436.5      9798.0
      56         437.6      9782.0
      57         461.7      9776.0
      58         464.5      9760.0
      59         469.3      9707.0
      60         497.5      9641.0
      61         499.9      9633.0
      62         532.7      9580.0
      63         536.7      9517.0
      64         537.3      9450.0
      65         538.4      9368.0
      67         616.5      9270.0
      68         626.2      9162.0
      69         627.6      9147.0
      70         628.8      9131.0
      71         630.0      9040.0
      72         630.5      9027.0
      73         751.4      8962.0
      74         757.2      8954.0
      75         771.7      8946.0
      76         772.0      8912.0
      77         773.1      8827.0
      78         794.6      8782.0
      79         796.0      8769.0
      80         822.2      8753.0
      81         839.3      8724.0
      82         842.0      8716.0
      83         858.5      8687.0
      84         861.1      8679.0
      85         879.8      8642.0
      86         882.5      8626.0
      88         886.4      8541.0
      89         889.9      8525.0
      90         995.6      8522.0
      91         996.3      8509.0
      92        1020.4      8498.0
      93        1023.6      8482.0
      94        1031.2      8429.0
      95        1033.5      8413.0
      96        1035.8      8384.0
      97        1038.3      8376.0
      98        1044.9      8331.0
      99        1046.3      8204.0
     100        1049.4      8196.0
     101        1050.3      8138.0
     102        1052.0      8053.0
     103        1054.0      8037.0
     104        1166.8      8016.0
     105        1242.9      7973.0
     106        1244.1      7965.0
     107        1266.3      7936.0
     108        1267.2      7809.0
     109        1269.8      7801.0
     110        1404.8      7775.0
     111        1408.1      7759.0
     112        1497.8      7740.0
     113        1498.4      7727.0
     114        1626.0      7676.0
     115        1627.5      7549.0
     116        1630.0      7541.0
     117        1658.7      7520.0
     118        1661.2      7491.0
     119        1668.4      7481.0
     120        1669.9      7377.0
     121        1777.2      7335.0
     122        2024.5      7318.0
     123        2031.4      7240.0
     124        2036.1      7134.0
     125        2036.9      7126.0
     126        2042.5      7054.0
     127        2113.3      7003.0
     128        2113.9      6987.0
     129        2114.9      6891.0
     130        2117.7      6883.0
     131        2356.1      6878.0
     132        2366.3      6862.0
     133        2367.9      6777.0
     134        2404.6      6753.0
     135        2423.9      6687.0
     136        2834.4      6635.0
     138        2837.8      6550.0
     139        2841.3      6534.0
     140        2978.6      6521.0
     141        2980.9      6513.0
     142        3052.8      6510.0
     143        3064.3      6494.0
     144        3064.8      6409.0
     145        3103.5      6380.0
     146        3104.8      6298.0
     147        3187.6      6272.0
     148        3190.5      6256.0
     149        3380.7      6232.0
     150        3386.7      6224.0
     151        3400.5      6219.0
     152        3404.0      6203.0
     153        3462.3      6193.0
     154        3467.4      6092.0
     155        3503.5      6068.0
     156        3503.8      5986.0
     157        3965.4      5945.0
     158        3966.5      5937.0
     159        3980.0      5929.0
     160        3981.0      5810.0
     161        4020.6      5707.0
     162        4022.4      5699.0
     163        4185.4      5657.0
     164        6831.8      5654.0
     165        6833.1      5646.0
     166        6921.6      5620.0
     167        6923.8      5604.0
     168        9864.4      5481.0
     169       10186.7      5444.0
     170       10188.5      5436.0
     171       10193.6      5428.0
     172       10195.0      5359.0
     173       10260.8      5277.0
     174       10296.2      5166.0
     175       10299.2      5150.0
     176       10299.9      5121.0
     177       10300.2      5084.0
     178       10303.0      4925.0
     179       10305.4      4917.0
     180       10327.2      4815.0
     181       10329.7      4814.0
     182       10330.9      4764.0
     183       10331.4      4679.0
     184       10457.7      4676.0
     185       10494.3      4626.0
     186       10496.1      4610.0
     187       11068.3      4607.0
     188       11111.1      4541.0
     189       11274.9      4488.0
     190       11278.3      4472.0
     191       11427.5      4437.0
     192       11427.7      4400.0
     193       11431.3      4392.0
     194       11431.5      4336.0
     195       11432.0      4323.0
     196       11449.9      4302.0
     197       11451.4      4236.0
     198       11455.6      4167.0
     199       11457.5      4159.0
     200       11543.5      4117.0
     201       13891.9      4096.0
     202       17549.7      4014.0
     203       17673.2      3943.0
     204       17949.4      3924.0
     205       18103.6      3853.0
     206       19914.2      3850.0
     207       23894.1      3841.0
     208       23896.9      3825.0
     209       23931.4      3762.0
     210       23932.1      3746.0
     211       23932.8      3677.0
     212       28419.1      3613.0
     213       28441.5      3597.0
     214       28441.7      3589.0
     215       31086.3      3561.0
     216       31086.6      3540.0
     217       31130.2      3539.0
     218       32823.1      3536.0
     219       51681.8      3522.0
     220       52237.4      3466.0
     221       52976.1      3445.0
     222      143707.8      3432.0
     223      143708.4      3419.0
     224      148397.2      3416.0

--- Évolution du vecteur de coûts (toutes les solutions BAB) ---
    Sol#    Temps (ms)        Cost  Vecteur lex
       1          13.1     15354.0  15056, 2, 16, 11, 16, 4, 0, 18, 223, 0, 8
       2          18.2     15264.0  14968, 2, 16, 11, 16, 4, 0, 20, 218, 0, 9
       3          19.0     15243.0  14948, 2, 16, 11, 16, 5, 0, 20, 216, 0, 9
       4          20.4     15176.0  14880, 2, 14, 11, 16, 5, 0, 20, 218, 0, 10
       5          22.1     15107.0  14812, 2, 14, 11, 16, 4, 0, 20, 218, 0, 10
       6          22.8     15094.0  14800, 2, 14, 11, 16, 4, 0, 20, 219, 0, 8
       7          24.9     15025.0  14732, 2, 14, 11, 16, 5, 0, 18, 217, 0, 10
       8          25.5     14956.0  14664, 2, 14, 11, 16, 4, 0, 18, 217, 0, 10
       9          27.4     14063.0  13796, 2, 16, 13, 16, 5, 0, 22, 183, 0, 10
      10          28.1     13689.0  13428, 2, 14, 12, 16, 5, 0, 22, 182, 0, 8
      11          28.6     13633.0  13372, 2, 14, 11, 16, 5, 0, 22, 182, 0, 9
      12          29.1     13580.0  13320, 2, 14, 11, 16, 6, 0, 20, 181, 0, 10
      13          29.4     13511.0  13252, 2, 14, 11, 16, 5, 0, 20, 181, 0, 10
      14          29.8     13498.0  13240, 2, 14, 11, 16, 5, 0, 20, 182, 0, 8
      15          33.2     12975.0  12724, 2, 16, 12, 8, 4, 0, 20, 177, 0, 12
      16          34.0     12691.0  12444, 2, 14, 11, 8, 4, 0, 20, 178, 0, 10
      17          34.3     12598.0  12352, 2, 14, 11, 8, 4, 0, 18, 177, 0, 12
      18          60.4     12280.0  12048, 2, 18, 12, 8, 4, 0, 20, 160, 0, 8
      19          60.7     12112.0  11880, 2, 16, 11, 8, 4, 0, 20, 161, 0, 10
      20          61.0     11932.0  11704, 2, 16, 11, 8, 4, 0, 20, 157, 0, 10
      21          61.5     11842.0  11616, 2, 16, 11, 8, 4, 0, 20, 155, 0, 10
      22          63.4     11828.0  11600, 2, 14, 11, 8, 3, 0, 18, 164, 0, 8
      23          65.1     11755.0  11532, 2, 16, 12, 8, 3, 0, 20, 154, 0, 8
      24          65.5     11665.0  11444, 2, 16, 12, 8, 3, 0, 20, 152, 0, 8
      25          66.1     11423.0  11204, 2, 14, 11, 8, 3, 0, 18, 155, 0, 8
      26          69.0     11415.0  11196, 2, 14, 10, 8, 3, 0, 20, 155, 0, 7
      27          81.4     11376.0  11160, 2, 16, 11, 8, 4, 0, 18, 147, 0, 10
      28          81.7     11211.0  10996, 2, 14, 11, 8, 3, 0, 20, 146, 0, 11
      29          82.6     11182.0  10968, 2, 14, 11, 8, 3, 0, 20, 146, 0, 10
      30          83.1     11158.0  10944, 2, 14, 11, 8, 4, 0, 18, 145, 0, 12
      31          83.7     11089.0  10876, 2, 14, 11, 8, 3, 0, 18, 145, 0, 12
      32         119.7     11018.0  10808, 2, 14, 10, 8, 4, 0, 20, 144, 0, 8
      33         134.6     10968.0  10760, 2, 14, 12, 8, 3, 0, 18, 143, 0, 8
      34         137.0     10960.0  10752, 2, 14, 11, 8, 3, 0, 20, 143, 0, 7
      35         201.7     10907.0  10700, 2, 14, 11, 8, 4, 0, 18, 142, 0, 8
      36         202.5     10822.0  10616, 2, 14, 10, 8, 4, 0, 18, 142, 0, 8
      37         246.4     10697.0  10492, 0, 14, 12, 8, 2, 0, 18, 143, 0, 8
      38         248.9     10689.0  10484, 0, 14, 11, 8, 2, 0, 20, 143, 0, 7
      39         258.3     10644.0  10440, 0, 14, 12, 8, 3, 0, 18, 139, 0, 10
      40         260.6     10575.0  10372, 0, 14, 12, 8, 4, 0, 16, 137, 0, 12
      41         261.3     10506.0  10304, 0, 14, 12, 8, 3, 0, 16, 137, 0, 12
      42         327.2     10501.0  10300, 0, 14, 11, 8, 3, 0, 18, 139, 0, 8
      43         328.7     10493.0  10292, 0, 14, 10, 8, 3, 0, 20, 139, 0, 7
      44         331.7     10419.0  10220, 0, 14, 11, 8, 4, 0, 16, 138, 0, 8
      45         333.5     10334.0  10136, 0, 14, 10, 8, 4, 0, 16, 138, 0, 8
      46         379.5     10196.0  10016, 2, 16, 14, 16, 2, 0, 20, 106, 0, 4
      47         382.4     10185.0  10004, 2, 16, 13, 16, 2, 0, 20, 107, 0, 5
      48         383.7     10066.0  9888, 2, 16, 13, 16, 2, 0, 20, 105, 0, 4
      49         386.1     10049.0  9868, 2, 14, 12, 16, 2, 0, 20, 110, 0, 5
      50         387.5     10036.0  9856, 2, 14, 12, 16, 2, 0, 20, 111, 0, 3
      51         408.0      9961.0  9780, 2, 14, 10, 16, 3, 0, 18, 112, 0, 6
      52         426.2      9899.0  9724, 4, 14, 12, 16, 3, 0, 20, 100, 0, 6
      53         427.8      9883.0  9708, 4, 14, 12, 16, 3, 0, 18, 102, 0, 6
      54         435.7      9883.0  9708, 4, 14, 11, 16, 4, 0, 20, 100, 0, 6
