========================================
  RÉSULTATS : 3voices_1_1_3_vtype_3_3
========================================

--- Configuration ---
CF                : 8 (Do Reference Grave)
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 3
Espèces (incl CF) : 1 0 2
v_type            : 3 3
Timeout max (ms)  : 180000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 180000.0
Temps 1ère solution (ms)    : 37.0
Temps dernière amélio. (ms) : 84357.0
Solutions trouvées          : 150
Améliorations de coût       : 148
Score pondéré           : 5748.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 1467802
Échecs     : 733737
Restarts   : 0
Propagat.  : 1605814017
Profondeur : 89

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1          37.0     15338.0
       2          44.4     15249.0
       3          46.0     15214.0
       4          51.3     15200.0
       5          53.1     15039.0
       6          57.6     14571.0
       7          58.2     14129.0
       8          58.8     13760.0
       9          70.4     13719.0
      10          71.1     13678.0
      11          71.5     13497.0
      12          74.4     13489.0
      13          79.4     13251.0
      14          80.0     13123.0
      15          80.6     13055.0
      16          80.9     12876.0
      17          81.6     12687.0
      18          94.8     12645.0
      19          95.4     12440.0
      20         100.5     12326.0
      21         108.9     12230.0
      22         109.2     12169.0
      23         114.5     12087.0
      24         115.1     12024.0
      25         115.8     11888.0
      26         144.5     11826.0
      27         145.8     11791.0
      28         146.9     11630.0
      29         204.9     11583.0
      30         212.1     11575.0
      31         216.0     11569.0
      32         216.7     11508.0
      33         258.8     11369.0
      34         268.1     11291.0
      35         268.3     11232.0
      36         272.0     11165.0
      37         324.1     11068.0
      38         335.9     11034.0
      39         353.7     11025.0
      40         362.0     10933.0
      41         372.1     10871.0
      42         379.4     10837.0
      43         385.5     10782.0
      44         391.0     10753.0
      45         428.2     10675.0
      46         456.4     10605.0
      47         517.1     10488.0
      48         541.5     10343.0
      49         631.5     10320.0
      50         639.1     10206.0
      51         804.3     10174.0
      52         828.1     10118.0
      53         933.2     10079.0
      54         938.9     10071.0
      55         976.8     10021.0
      56         980.3      9954.0
      57        1002.3      9941.0
      58        1014.4      9851.0
      59        1017.8      9826.0
      61        1120.8      9744.0
      62        1131.6      9710.0
      63        1202.3      9702.0
      64        1235.7      9601.0
      65        1420.0      9545.0
      66        1420.3      9482.0
      67        1785.2      9477.0
      68        1825.5      9415.0
      69        2259.0      9409.0
      70        2398.7      9334.0
      71        2724.0      9327.0
      72        2875.5      9265.0
      73        6747.5      9230.0
      74        7155.5      9170.0
      75        7203.4      9108.0
      76        9024.1      9084.0
      77        9087.5      9029.0
      78        9088.0      8968.0
      79        9427.4      8945.0
      80       12393.8      8908.0
      81       12410.4      8818.0
      82       12414.0      8812.0
      83       12414.9      8751.0
      84       12511.6      8642.0
      85       12511.9      8579.0
      86       12732.4      8578.0
      88       12791.1      8545.0
      89       12798.6      8489.0
      90       12802.7      8464.0
      91       13087.9      8447.0
      92       13089.3      8433.0
      93       13090.6      8272.0
      94       13297.9      8252.0
      95       13611.1      8238.0
      96       13626.2      8081.0
      97       14241.9      8064.0
      98       14243.7      7950.0
      99       15708.0      7924.0
     100       15916.7      7905.0
     101       16504.6      7888.0
     102       16760.3      7862.0
     103       17555.3      7843.0
     104       18768.6      7813.0
     105       20047.3      7799.0
     106       20222.0      7782.0
     107       20819.6      7679.0
     108       22740.8      7630.0
     109       25809.6      7589.0
     110       25932.1      7527.0
     111       26554.6      7523.0
     112       26564.5      7519.0
     113       26566.9      7405.0
     114       35675.9      7360.0
     115       35684.6      7305.0
     116       35705.7      7222.0
     117       35706.6      7187.0
     118       35707.5      7026.0
     119       35768.3      6977.0
     120       35812.5      6928.0
     121       35813.6      6922.0
     122       35819.8      6861.0
     123       35948.6      6845.0
     124       35954.0      6820.0
     125       36100.6      6778.0
     126       36182.0      6661.0
     127       36185.3      6608.0
     128       36189.4      6600.0
     129       36231.4      6518.0
     130       36241.8      6484.0
     131       36301.8      6469.0
     132       36599.4      6450.0
     133       36677.8      6442.0
     134       36678.7      6342.0
     135       36679.5      6279.0
     136       36739.9      6217.0
     137       38392.4      6156.0
     138       38634.4      6110.0
     139       39454.5      6101.0
     140       39661.2      6039.0
     141       40028.0      5979.0
     142       40129.4      5917.0
     143       40961.8      5905.0
     144       48417.0      5901.0
     145       49760.8      5889.0
     146       55471.3      5861.0
     147       56822.7      5849.0
     148       69586.2      5830.0
     149       84197.3      5810.0
     150       84357.0      5748.0

--- Évolution du vecteur de coûts (toutes les solutions BAB) ---
    Sol#    Temps (ms)        Cost  Vecteur lex
       1          37.0     15338.0  15005, 2, 16, 0, 7, 8, 0, 20, 0, 0, 258, 5, 17
