========================================
  RÉSULTATS : 3voices_1_1_1_vtype_2_1
========================================

--- Configuration ---
CF                : 8 (Do Reference Grave)
Gamme indicative  : Majeur
Preset            : bryce
Borrow mode       : 0
Mode d'objectif   : pond (score lex pondéré)
Nombre de voix    : 3
Espèces (incl CF) : 1 0 0
v_type            : 2 1
Timeout max (ms)  : 180000
Stagnation (ms)   : 0
Cantus firmus     : 48 50 53 52 55 53 52 50 48
                    Do3 Ré3 Fa3 Mi3 Sol3 Fa3 Mi3 Ré3 Do3

--- Métriques de recherche ---
Temps total (ms)            : 180000.0
Temps 1ère solution (ms)    : 8.0
Temps dernière amélio. (ms) : 136903.8
Solutions trouvées          : 102
Améliorations de coût       : 101
Score pondéré           : 1431.0
Terminaison                 : TIMEOUT_MAX

--- Statistiques Gecode ---
Nœuds      : 1470670
Échecs     : 735228
Restarts   : 0
Propagat.  : 1395984260
Profondeur : 50

--- Améliorations ---
    Sol#    Temps (ms)       Coût
       1           8.0     34389.0
       2           9.0     32776.0
       3          11.7     32704.0
       4          12.9     32701.0
       5          15.6      5191.0
       6          17.4      5161.0
       7          19.6      5140.0
       8          35.4      5128.0
       9          35.7      5095.0
      10          38.1      5014.0
      11          38.6      4975.0
      12          39.0      4963.0
      13          39.9      4918.0
      14          49.3      4915.0
      15          56.3      4864.0
      16          60.1      4852.0
      17          60.8      4822.0
      18          66.0      4768.0
      19          67.2      4696.0
      20          67.9      4573.0
      21          68.4      4552.0
      22          99.5      4534.0
      23          99.8      4513.0
      24         102.5      4507.0
      25         103.0      4474.0
      26         151.5      4471.0
      27         164.1      4381.0
      28         166.0      4363.0
      29         167.4      4351.0
      30         167.5      4318.0
      31         178.3      4260.0
      32         178.8      4227.0
      33         180.8      4191.0
      34         182.5      4134.0
      35         186.0      4131.0
      36         187.6      4014.0
      37         248.4      3996.0
      38         249.0      3984.0
      39         249.4      3963.0
      40         250.9      3888.0
      41         467.9      3822.0
      42         488.0      3786.0
      43         821.0      3750.0
      44         921.5      3741.0
      45         939.4      3684.0
      46         978.0      3585.0
      47         979.4      3576.0
      48         979.9      3474.0
      49         980.2      3441.0
      50         985.7      3393.0
      51         990.5      3348.0
      52         990.7      3315.0
      53        1042.6      3297.0
      54        1052.4      3255.0
      55        1052.6      3222.0
      56        1820.5      3159.0
      57        1893.2      3081.0
      58        1894.7      3060.0
      59        1896.7      3018.0
      60        1897.0      2985.0
      61        2028.6      2952.0
      62        2029.1      2919.0
